AUTHOR	COLLABORATOR	UUIDS	MATCHSCORE	ACTUAL_COLLABORATOR	RUNNING_SCORE
Polosan M	Vilarroya O	b973ae71-cad6-3d6f-b9b3-87f9b22f1586	0.677927240254528	0	0.5
Polosan M	Soto D	efce512f-f912-33de-b3f4-7e40c96033ac	0.678110774066079	0	0.5
Polosan M	Schroder J	78f44795-65fb-3faf-bf78-fce97f9b9823	0.678496637275475	0	0.5
Polosan M	McDermott KB	409bc5c8-d874-3e21-986d-cdf244deda7d	0.679144675868621	0	0.5
Polosan M	Shanks MF	54406fde-9e0b-3d42-92d9-a68dbcdced5a	0.679386129419529	0	0.5
Polosan M	Jung YC	b4254648-5675-3af1-9cbc-28e5a992fe6e	0.679790069677327	0	0.5
Polosan M	Scheiber C	06bf4878-1ad4-3a09-9327-b8a59ea9444e	0.68142160525909	0	0.5
Polosan M	Herzog MH	42e12927-be1c-3ff8-b539-09ac1809856f	0.686699111085778	0	0.5
Polosan M	Lewis JW	f14bb2a1-8f15-3c94-8f97-e2b26de15176	0.686950170893859	0	0.5
Polosan M	Joubert S	3330c67c-a0e4-38ee-b714-02473d12bc78	0.687063750599915	0	0.5
Polosan M	Heller W	2db39faf-cf3d-32d9-bb76-c42b6104a4c9	0.687452238883328	0	0.5
Polosan M	Miller GA	5e3770db-8143-3f40-8b49-6947473c038b	0.687452238883328	0	0.5
Polosan M	Siderowf A	d512bbd3-f6df-33e7-ac29-acb5062b321c	0.68873921441062	0	0.5
Polosan M	Gao JH	0369cd17-b976-348b-8f6f-5bff0ab35d36	0.688945699357004	0	0.5
Polosan M	Beaver JD	548f2892-503a-3887-8ffe-ac3d9b69855a	0.689512828781995	0	0.5
Polosan M	Lemieux L	980dcdf9-e7d5-3b4a-b0df-65927dd483c8	0.690381388322861	0	0.5
Polosan M	Staines WR	599feed1-b4aa-309a-a686-49430747c2ca	0.691701422603248	0	0.5
Polosan M	Van Berkum JJ	4fd26a18-0a55-32fc-9b97-d6340c2d459b	0.69209700233551	0	0.5
Polosan M	Hu D	86fe4b64-6c54-3a47-989e-bcbd0c574c38	0.693561178840727	0	0.5
Polosan M	Pillon A	5b95d843-4f89-3f57-bcaf-c5ccf303c5a6	0.69436281035009	0	0.5
Polosan M	Hull M	46e7ed03-5e6f-32a8-96c1-13b02cef87a0	0.694372579687141	0	0.5
Polosan M	Turner JA	af243c6d-9967-31c5-a930-57ada891e86e	0.694910002292547	0	0.5
Polosan M	Perlmutter JS	25f6d789-bffa-391d-96d6-0286eda10073	0.695626747707916	0	0.5
Polosan M	Dietrich S	a7737c2e-33bb-3fce-b01c-79ff8a1d3dd5	0.69562990699662	0	0.5
Polosan M	Nosarti C	66b4229b-7fca-3151-a8a2-61084cad7e2a	0.695745097872769	0	0.5
Polosan M	Luo J	802fe0b9-9c04-3687-b255-82c695482462	0.69574516208167	0	0.5
Polosan M	Schneider F	09f66634-2e3b-33c9-9f33-46be8f470a79	0.696494858751402	0	0.5
Polosan M	De Raedt R	22c5473f-9f8e-3c2c-8ce2-243cd6ceaf82	0.696836776309749	0	0.5
Polosan M	Lerman C	cf09e34a-ae3c-37e8-843b-bc4e2cbca8cb	0.701326246194123	0	0.5
Polosan M	Banaji MR	92f7c1da-b337-3689-936f-b959ee716233	0.701385319599438	0	0.5
Polosan M	Gruen JR	936190da-6275-3dcf-bb0b-f412961aadde	0.701590733164759	0	0.5
Polosan M	Verfaellie M	a46978aa-ae56-3d26-baba-0880db21ca17	0.702375513161709	0	0.5
Polosan M	Prohovnik I	40da74f0-cf6c-3a5b-9fb9-89aef19bbb46	0.702700017641691	0	0.5
Polosan M	Nichols TE	9b7b8b0a-62ca-3772-9f12-ade17375d525	0.703671248721434	0	0.5
Polosan M	McGuire P	e7bb068e-6873-3356-9acb-896b7d1ddc16	0.703773382373575	0	0.5
Polosan M	Baas JM	969b9b5e-5d0d-3ff2-9e12-9f0c8fb6ae2e	0.704307625712264	0	0.5
Polosan M	Valls-Sole J	7920fe7e-c5d7-37da-8122-c84eafd10485	0.70538353752557	0	0.5
Polosan M	Narr KL	78b9c38b-9222-3e89-a019-6be1ed464e07	0.705590774113543	0	0.5
Polosan M	Bornstein MH	e48f5bd7-11f1-3c77-a017-df951bfab249	0.706490069803557	0	0.5
Polosan M	Lim KO	4bbdcf57-a689-3e2b-8db1-1b8a175315fa	0.707963254213168	0	0.5
Polosan M	Nimgaonkar VL	ca25f587-be17-3fde-b02f-8851c9198f16	0.708085733226885	0	0.5
Polosan M	Mar RA	1ba76910-68bc-3f29-86b0-2ecf2990562c	0.708118380804904	0	0.5
Polosan M	Hampel H	7c3c8a38-4d32-3d7f-ac2d-9ffcea42e85b	0.708490367871538	0	0.5
Polosan M	Schioth HB	5ddf4c88-33be-3a8a-b0cd-34772fb36a8f	0.708750118468422	0	0.5
Polosan M	Carter C	918469b4-f281-350b-880a-f7a4fcc66c6e	0.711596900044227	0	0.5
Polosan M	Wilkinson ID	4a5ac21c-2259-3f1d-8e7a-73790063b612	0.712293402833679	0	0.5
Polosan M	Cozzone P	4f322f29-ead1-3981-ada1-72cd548aff56	0.712348406271256	0	0.5
Polosan M	Dallapiccola B	464d721c-9c0c-3ace-90f7-793a532ab288	0.71301749814606	0	0.5
Polosan M	George N	9f6d8050-909d-3635-835b-f3f75ed9f867	0.713443272558683	0	0.5
Polosan M	Law I	34af0eeb-3b7f-3511-be0c-dd2c0afa623a	0.713916433375611	0	0.5
Polosan M	Jahanshahi M	b39cfc34-99d3-361b-a9ac-c36a2d673796	0.714584408722428	0	0.5
Polosan M	Wandell BA	c23ec6c0-2d6f-3251-a4ae-f057796cd9af	0.714935986816208	0	0.5
Polosan M	Mai X	80f11e84-e4d6-3fad-ac90-31e04fa8b36b	0.715701744586307	0	0.5
Polosan M	Vigliocco G	55d65514-0dd5-3bf5-9185-eea19013d96c	0.716029970637471	0	0.5
Polosan M	Meindl T	b3d4ad1c-5c34-3b11-9170-6da00267ce2a	0.716073693140299	0	0.5
Polosan M	McDowell JE	796cd2e6-9096-317b-93b5-9ddb88c68223	0.716564301301272	0	0.5
Polosan M	Krakoff J	0a8871e8-bb1e-3f54-a447-e6bd304495e2	0.716649691103217	0	0.5
Polosan M	Rami L	dca7148e-d159-3412-a5b0-128b41710c41	0.717053400291241	0	0.5
Polosan M	Fan M	4e5d6bc1-df3c-37b1-8c2c-c6e58dd4351b	0.717387651993107	0	0.5
Polosan M	Marklund P	2ecef6aa-fb0a-320d-8ee4-b2480aeb7ab9	0.717459528377979	0	0.5
Polosan M	Asencio J	8c78eb80-a86c-335a-82d9-a93aabffe2d6	0.718464668244951	0	0.5
Polosan M	Brady KT	289282f0-e74e-3f1f-a67d-9d44a4130a89	0.718468377817694	0	0.5
Polosan M	Hernandez A	45e6ae55-d44f-306a-afa6-b543b90c77af	0.718499967312724	0	0.5
Polosan M	Beilock SL	1f293876-ca82-3886-8cd5-40cb7cb0d1d8	0.718872655632651	0	0.5
Polosan M	Pietrini P	2f0e67c6-aac2-3a39-845c-2249c2b35393	0.720852556888719	0	0.5
Polosan M	Van Huffel S	65d1900d-8c41-3f05-bb06-22ce05bab2d4	0.721051001572201	0	0.5
Polosan M	Canavero S	eac45897-1ba0-3f95-9804-670e2f9da6d0	0.721407078357621	0	0.5
Polosan M	Frith U	ec9ff99e-7610-3c6d-bae7-2f8f86ad7c40	0.72147278647676	0	0.5
Polosan M	Dewitt S	e190250e-bf30-3589-af90-886383f4edca	0.722197788915724	0	0.5
Polosan M	Noll DC	f3df0889-fe18-35a8-8430-292a7f2a9861	0.72223169297592	0	0.5
Polosan M	Hong LE	db3e2af8-fba2-3852-baa0-a5eb0dcb8f4b	0.722919364197829	0	0.5
Polosan M	Smith CD	9fc9c64c-97e7-3cd1-9d79-026318d73bc7	0.723272731548995	0	0.5
